id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,94305.0,1872875882232,-1.33276,95742.0,93806.0,108786.0,67.81,05-05-2025 22-51-04
ethereum,1804.63,217872189080,-1.5341,1839.29,1787.46,4878.26,0.432979,05-05-2025 22-51-04
tether,1.0,149367884588,0.00071,1.0,0.999989,1.32,0.572521,05-05-2025 22-51-04
ripple,2.15,125729388848,-1.97354,2.2,2.14,3.4,0.00268621,05-05-2025 22-51-04
binancecoin,595.02,86805102490,0.27621,595.12,584.65,788.84,0.0398177,05-05-2025 22-51-04
solana,144.65,75017474066,-0.85448,147.48,143.03,293.31,0.500801,05-05-2025 22-51-04
usd-coin,0.999995,61479261101,0.00247,1.0,0.999895,1.17,0.877647,05-05-2025 22-51-04
dogecoin,0.170854,25465678958,-1.93752,0.174375,0.16935,0.731578,8.69e-05,05-05-2025 22-51-04
cardano,0.665803,23993260370,-3.64496,0.692735,0.662505,3.09,0.01925275,05-05-2025 22-51-04
tron,0.248464,23586447497,0.46579,0.250387,0.246285,0.431288,0.00180434,05-05-2025 22-51-04
staked-ether,1803.45,16557138328,-1.56386,1837.76,1787.4,4829.57,482.9,05-05-2025 22-51-04
wrapped-bitcoin,94239.0,12146060961,-1.28069,95720.0,93731.0,108368.0,3139.17,05-05-2025 22-51-04
sui,3.44,11505996957,5.83836,3.47,3.22,5.35,0.364846,05-05-2025 22-51-04
chainlink,13.77,9049988712,-2.14841,14.17,13.7,52.7,0.148183,05-05-2025 22-51-04
avalanche-2,19.57,8178622112,-2.93085,20.2,19.44,144.96,2.8,05-05-2025 22-51-04
stellar,0.263123,8137569796,-1.99142,0.270369,0.261846,0.875563,0.00047612,05-05-2025 22-51-04
leo-token,8.62,7957334001,-4.69055,9.13,8.6,10.14,0.799859,05-05-2025 22-51-04
usds,0.999922,7913520697,-0.00851,1.0,0.999859,1.057,0.948265,05-05-2025 22-51-04
wrapped-steth,2169.75,7524777105,-1.2472,2206.94,2152.01,7256.02,558.54,05-05-2025 22-51-04
shiba-inu,1.268e-05,7479803778,-2.0901,1.295e-05,1.263e-05,8.616e-05,5.6366e-11,05-05-2025 22-51-04
the-open-network,2.98,7426147135,-3.92346,3.1,2.98,8.25,0.519364,05-05-2025 22-51-04
hedera-hashgraph,0.173672,7335795507,-2.99421,0.179033,0.173437,0.569229,0.00986111,05-05-2025 22-51-04
bitcoin-cash,353.97,7031799674,-1.19814,360.56,352.08,3785.82,76.93,05-05-2025 22-51-04
hyperliquid,20.14,6729043703,-3.74971,20.95,19.8,34.96,3.81,05-05-2025 22-51-04
litecoin,88.5,6710438070,2.68867,89.33,84.89,410.26,1.15,05-05-2025 22-51-04
polkadot,3.92,5981376926,-1.17615,4.01,3.91,54.98,2.7,05-05-2025 22-51-04
binance-bridged-usdt-bnb-smart-chain,1.0,5186401119,0.05827,1.002,0.995492,1.05,0.942186,05-05-2025 22-51-04
weth,1804.13,5171424675,-1.61804,1840.01,1788.03,4799.89,82.1,05-05-2025 22-51-04
monero,276.36,5098537209,2.14263,282.32,269.0,542.33,0.216177,05-05-2025 22-51-04
bitget-token,4.3,5030108852,-0.83074,4.36,4.29,8.45,0.0142795,05-05-2025 22-51-04
ethena-usde,1.0,4690682368,-0.01593,1.001,0.99982,1.032,0.929486,05-05-2025 22-51-04
pi-network,0.591405,4168335678,-0.24851,0.595555,0.587029,2.99,0.406999,05-05-2025 22-51-04
coinbase-wrapped-btc,94267.0,4112264130,-1.36599,95758.0,93759.0,108953.0,57439.0,05-05-2025 22-51-04
whitebit,28.51,4108246760,-0.29418,28.62,28.44,31.28,3.06,05-05-2025 22-51-04
wrapped-eeth,1927.05,4086753527,-1.3407,1958.51,1908.26,4311.81,1505.24,05-05-2025 22-51-04
pepe,7.98e-06,3358477698,-3.07957,8.33e-06,7.98e-06,2.803e-05,5.5142e-08,05-05-2025 22-51-04
dai,0.999965,3290958812,0.02773,1.0,0.999416,1.22,0.88196,05-05-2025 22-51-04
aptos,5.09,3158216753,-1.36437,5.2,5.07,19.92,3.08,05-05-2025 22-51-04
bittensor,359.19,3137254333,2.45405,365.85,340.94,757.6,30.83,05-05-2025 22-51-04
susds,1.05,3099424150,0.01029,1.05,1.05,1.088,0.961716,05-05-2025 22-51-04
okb,50.88,3053160169,-1.07377,51.63,50.88,73.8,0.580608,05-05-2025 22-51-04
uniswap,4.99,3002130411,-1.97247,5.1,4.97,44.92,1.03,05-05-2025 22-51-04
blackrock-usd-institutional-digital-liquidity-fund,1.0,2878680374,0.0,1.0,1.0,1.0,1.0,05-05-2025 22-51-04
near,2.33,2825868477,-2.26526,2.39,2.31,20.44,0.526762,05-05-2025 22-51-04
ondo-finance,0.864611,2732122160,-0.6573,0.888367,0.854437,2.14,0.082171,05-05-2025 22-51-04
aave,176.43,2670798198,0.80887,180.45,170.49,661.69,26.02,05-05-2025 22-51-04
gatechain-token,21.35,2626055364,-0.95256,21.55,21.23,25.94,0.25754,05-05-2025 22-51-04
crypto-com-chain,0.087664,2515772538,-1.36015,0.09029,0.087076,0.965407,0.0121196,05-05-2025 22-51-04
internet-computer,4.61,2459496733,-1.32471,4.68,4.57,700.65,2.87,05-05-2025 22-51-04
ethereum-classic,15.99,2427262303,-2.05773,16.34,15.92,167.09,0.615038,05-05-2025 22-51-04
mantle,0.711936,2395447174,-2.94331,0.734033,0.711398,1.54,0.307978,05-05-2025 22-51-04
kaspa,0.091442,2386201992,0.38326,0.093958,0.090496,0.207411,0.00017105,05-05-2025 22-51-04
tokenize-xchange,29.59,2367051858,-4.20693,31.08,29.51,50.43,0.111255,05-05-2025 22-51-04
official-trump,11.27,2254249776,0.72619,11.38,10.85,73.43,4.29,05-05-2025 22-51-04
render-token,4.34,2250432835,-1.35204,4.48,4.26,13.53,0.03665669,05-05-2025 22-51-04
vechain,0.02491307,2142426677,-2.63848,0.02558821,0.02489392,0.280991,0.00191713,05-05-2025 22-51-04
usd1-wlfi,0.999777,2127496395,0.07762,1.004,0.994151,1.017,0.989703,05-05-2025 22-51-04
ethena-staked-usde,1.17,2028254698,0.16302,1.17,1.17,1.29,1.012,05-05-2025 22-51-04
polygon-ecosystem-token,0.227374,1994922931,-1.35013,0.234782,0.226661,1.29,0.153392,05-05-2025 22-51-04
lombard-staked-btc,94153.0,1900261820,-1.38253,95654.0,92722.0,114576.0,52119.0,05-05-2025 22-51-04
fasttoken,4.28,1839228333,-0.01826,4.29,4.28,4.3,0.398142,05-05-2025 22-51-04
cosmos,4.08,1828166599,-1.71243,4.19,4.07,44.45,1.16,05-05-2025 22-51-04
filecoin,2.62,1741013092,-0.57022,2.68,2.61,236.84,2.14,05-05-2025 22-51-04
fetch-ai,0.656248,1710120454,-4.36978,0.686308,0.648844,3.45,0.00816959,05-05-2025 22-51-04
algorand,0.198255,1703298234,-2.61668,0.204357,0.198031,3.56,0.087513,05-05-2025 22-51-04
sonic-3,0.518588,1647956691,-1.55636,0.52771,0.510029,1.029,0.359647,05-05-2025 22-51-04
ethena,0.27877,1623498536,-3.99825,0.293033,0.278936,1.52,0.195078,05-05-2025 22-51-04
jupiter-perpetuals-liquidity-provider-token,4.07,1512665300,-0.58941,4.11,4.05,5.03,0.146839,05-05-2025 22-51-04
arbitrum,0.312344,1487065627,-1.6871,0.320504,0.310116,2.39,0.245747,05-05-2025 22-51-04
celestia,2.38,1484243480,-1.73113,2.45,2.36,20.85,2.08,05-05-2025 22-51-04
first-digital-usd,0.998456,1466191874,-0.05909,1.001,0.992594,1.15,0.940377,05-05-2025 22-51-04
solv-btc,94219.0,1386788152,-1.03233,95629.0,93619.0,108929.0,49058.0,05-05-2025 22-51-04
kucoin-shares,10.68,1335099351,-0.44129,10.81,10.64,28.83,0.342863,05-05-2025 22-51-04
bonk,1.679e-05,1300275011,4.24626,1.741e-05,1.58e-05,5.825e-05,8.6142e-08,05-05-2025 22-51-04
