id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
maker,1536.85,1281990942,0.90106,1557.28,1510.41,6292.31,168.36,05-05-2025 22-51-04
quant-network,85.64,1245884493,0.49203,90.57,84.6,427.42,0.215773,05-05-2025 22-51-04
jupiter-exchange-solana,0.429632,1245816405,-0.11071,0.436493,0.422826,2.0,0.306358,05-05-2025 22-51-04
flare-networks,0.01937591,1225470761,-0.53687,0.02144095,0.0193941,0.150073,0.00827405,05-05-2025 22-51-04
nexo,1.22,1224658686,-2.6973,1.28,1.21,4.07,0.04515276,05-05-2025 22-51-04
worldcoin-wld,0.914165,1209814504,-3.10697,0.961993,0.909927,11.74,0.583741,05-05-2025 22-51-04
binance-staked-sol,152.01,1180821739,-0.63808,154.69,150.12,297.96,100.21,05-05-2025 22-51-04
blockstack,0.758811,1156625744,-2.61559,0.779349,0.745827,3.86,0.04559639,05-05-2025 22-51-04
xdce-crowd-sale,0.072238,1134571012,-1.72943,0.073572,0.069965,0.192754,0.00039532,05-05-2025 22-51-04
virtual-protocol,1.73,1132489879,5.4659,1.83,1.59,5.07,0.00748604,05-05-2025 22-51-04
fartcoin,1.096,1098982390,-0.122,1.14,1.056,2.48,0.02002855,05-05-2025 22-51-04
optimism,0.659935,1094130826,-3.44921,0.68503,0.657412,4.84,0.402159,05-05-2025 22-51-04
binance-peg-weth,1804.57,1091762207,-1.51823,1838.26,1786.11,4098.26,1394.32,05-05-2025 22-51-04
eos,0.705878,1070735765,-0.21072,0.71379,0.684438,22.71,0.402746,05-05-2025 22-51-04
usdt0,1.0,1058536867,-0.00433,1.002,0.998663,1.052,0.975737,05-05-2025 22-51-04
kelp-dao-restaked-eth,1880.37,1034237809,-1.43358,1913.83,1865.0,4216.2,1459.69,05-05-2025 22-51-04
sei-network,0.201726,1030737972,-1.98063,0.207237,0.201014,1.14,0.095364,05-05-2025 22-51-04
story-2,3.77,1018251625,2.88547,3.87,3.61,7.31,1.0,05-05-2025 22-51-04
immutable-x,0.554547,1008071360,-1.31511,0.569477,0.544345,9.52,0.353994,05-05-2025 22-51-04
curve-dao-token,0.69069,924961761,-0.92906,0.701164,0.670621,15.37,0.180354,05-05-2025 22-51-04
paypal-usd,0.999811,913700649,-0.01196,0.999997,0.999514,1.021,0.959426,05-05-2025 22-51-04
injective-protocol,9.34,913307822,-1.51409,9.71,9.25,52.62,0.657401,05-05-2025 22-51-04
binance-bridged-usdc-bnb-smart-chain,1.0,899293104,0.08584,1.004,0.994303,1.031,0.942892,05-05-2025 22-51-04
wbnb,594.95,869038364,0.29387,595.12,584.38,789.32,23.6,05-05-2025 22-51-04
the-graph,0.089793,858460199,-1.67966,0.091563,0.089354,2.84,0.052051,05-05-2025 22-51-04
rocket-pool-eth,2046.89,845513176,-1.4709,2083.39,2030.74,4814.31,887.26,05-05-2025 22-51-04
dexe,14.52,828869705,0.42388,14.61,14.18,32.38,0.671563,05-05-2025 22-51-04
tether-gold,3329.38,820742070,2.17952,3328.63,3250.7,3530.16,1447.84,05-05-2025 22-51-04
polygon-bridged-usdt-polygon,1.0,804558615,-0.00857,1.0,0.999889,1.027,0.945933,05-05-2025 22-51-04
pax-gold,3333.26,793872325,2.19242,3332.98,3251.89,3518.57,1399.64,05-05-2025 22-51-04
iota,0.202181,777847402,-3.53709,0.213877,0.199988,5.25,0.081637,05-05-2025 22-51-04
raydium,2.66,772512284,-0.61038,2.74,2.58,16.83,0.134391,05-05-2025 22-51-04
walrus-2,0.613996,767015722,9.17178,0.617912,0.552188,0.68517,0.360808,05-05-2025 22-51-04
msol,186.5,758060084,-0.90065,190.49,184.47,363.77,8.93,05-05-2025 22-51-04
arbitrum-bridged-wbtc-arbitrum-one,94296.0,751155488,-1.42038,96156.0,93888.0,108397.0,49594.0,05-05-2025 22-51-04
jasmycoin,0.01545419,748406785,-3.63154,0.01615916,0.01539787,4.79,0.00275026,05-05-2025 22-51-04
coredaoorg,0.741811,742259092,9.35357,0.77412,0.657219,6.14,0.334237,05-05-2025 22-51-04
jupiter-staked-sol,159.83,733553734,-0.94419,163.1,157.85,309.67,105.7,05-05-2025 22-51-04
bitcoin-cash-sv,36.87,732478678,0.39487,38.02,36.28,489.75,21.43,05-05-2025 22-51-04
clbtc,93668.0,730258611,-1.74056,96090.0,93416.0,104078.0,51493.0,05-05-2025 22-51-04
solv-protocol-solvbtc-bbn,93571.0,723431618,-1.49876,95364.0,91212.0,117077.0,11402.13,05-05-2025 22-51-04
lido-dao,0.80284,720911732,-1.48659,0.824123,0.794055,7.3,0.40615,05-05-2025 22-51-04
floki,7.441e-05,719871293,-3.00594,7.729e-05,7.405e-05,0.00034495,8.428e-08,05-05-2025 22-51-04
bittorrent,7.07521e-07,697673291,-1.15952,7.46454e-07,7.03324e-07,3.43e-06,3.65368e-07,05-05-2025 22-51-04
theta-token,0.693177,693253365,-0.07308,0.705515,0.675886,15.72,0.04039979,05-05-2025 22-51-04
helium,3.8,691081250,-0.18245,3.87,3.75,54.88,0.113248,05-05-2025 22-51-04
pudgy-penguins,0.01094028,687562224,3.17274,0.01119196,0.01014997,0.068447,0.00371517,05-05-2025 22-51-04
mantle-staked-ether,1921.37,682285395,-1.51313,1959.61,1904.66,4729.53,1485.62,05-05-2025 22-51-04
gala,0.01521558,674934617,-1.16303,0.01568982,0.01506536,0.824837,0.00013475,05-05-2025 22-51-04
the-sandbox,0.272333,666920521,-2.36898,0.279826,0.272465,8.4,0.02897764,05-05-2025 22-51-04
kaia,0.112457,659142719,-2.14252,0.116379,0.111675,0.406698,0.090737,05-05-2025 22-51-04
solayer,3.11,654013784,-2.07772,3.39,3.1,3.39,0.599884,05-05-2025 22-51-04
usual-usd,0.999355,648647931,0.13713,0.999482,0.997774,1.33,0.962885,05-05-2025 22-51-04
usdx-money-usdx,0.998361,625449273,0.04728,1.003,0.992935,1.057,0.944423,05-05-2025 22-51-04
pancakeswap-token,1.94,615707866,-0.5142,1.95,1.92,43.96,0.194441,05-05-2025 22-51-04
ondo-us-dollar-yield,1.1,591580573,-0.52142,1.12,1.098,1.26,0.934184,05-05-2025 22-51-04
ethereum-name-service,17.62,584846879,-7.61314,19.07,17.37,83.4,6.69,05-05-2025 22-51-04
flow,0.369528,583948572,-1.17096,0.374965,0.36706,42.4,0.303987,05-05-2025 22-51-04
zcash,36.12,579097249,3.81517,36.34,34.47,3191.93,16.08,05-05-2025 22-51-04
renzo-restaked-eth,1889.02,576180360,-1.39244,1925.1,1873.01,4207.05,1454.43,05-05-2025 22-51-04
tezos,0.534887,557504232,-3.10472,0.552025,0.530903,9.12,0.350476,05-05-2025 22-51-04
sonic-bridged-usdc-e-sonic,0.999996,551842642,0.0007,1.001,0.997736,1.046,0.949963,05-05-2025 22-51-04
decentraland,0.289984,541701484,-1.30246,0.299842,0.287947,5.85,0.00923681,05-05-2025 22-51-04
dogwifcoin,0.541658,541518185,-3.02636,0.565469,0.537249,4.83,0.00155464,05-05-2025 22-51-04
chain-2,0.01608565,539566476,-6.97546,0.01740417,0.01608532,0.184139,0.0007055,05-05-2025 22-51-04
based-brett,0.054235,537456110,-2.81382,0.056665,0.052981,0.234204,0.00084753,05-05-2025 22-51-04
jito-governance-token,1.6,518179900,-1.40056,1.63,1.58,6.01,1.43,05-05-2025 22-51-04
pendle,3.18,516433210,-0.74486,3.27,3.17,7.5,0.03377729,05-05-2025 22-51-04
aerodrome-finance,0.62066,502328675,-2.78048,0.648818,0.61958,2.32,1.861e-05,05-05-2025 22-51-04
telcoin,0.0054405,500023583,-3.6337,0.00570336,0.00538986,0.064483,6.474e-05,05-05-2025 22-51-04
reserve-rights-token,0.00873191,497210010,0.49353,0.00890507,0.0084844,0.117424,0.00121354,05-05-2025 22-51-04
true-usd,0.998364,494705453,-0.02115,0.999953,0.997783,1.62,0.88355,05-05-2025 22-51-04
pyth-network,0.135769,492251181,-2.95638,0.139905,0.13456,1.2,0.10565,05-05-2025 22-51-04
ubtc,95376.0,486323248,-1.98352,192764.0,93075.0,192764.0,74362.0,05-05-2025 22-51-04
beldex,0.067741,484335377,3.06405,0.067767,0.06407,0.450785,0.00027519,05-05-2025 22-51-04
deep,0.192628,482925432,3.33959,0.196251,0.176848,0.341085,0.01073218,05-05-2025 22-51-04
stakewise-v3-oseth,1888.29,479846664,-1.3238,1921.41,1869.39,4228.59,1459.73,05-05-2025 22-51-04
spx6900,0.515399,479832487,-1.89364,0.533797,0.500642,1.72,0.00131808,05-05-2025 22-51-04
bitcoin-avalanche-bridged-btc-b,94145.0,474956171,-1.38774,95733.0,93746.0,108820.0,7806.11,05-05-2025 22-51-04
kava,0.431142,466946639,3.1296,0.463693,0.415161,9.12,0.247359,05-05-2025 22-51-04
bridged-usdc-polygon-pos-bridge,0.999997,465888381,0.00068,1.0,0.999881,1.028,0.975633,05-05-2025 22-51-04
ousg,110.92,461471170,0.0,110.92,110.92,110.92,95.09,05-05-2025 22-51-04
arweave,6.97,455912903,-3.85325,7.41,6.95,89.24,0.298788,05-05-2025 22-51-04
aioz-network,0.387435,455432147,-3.02986,0.40558,0.382987,2.65,0.01099588,05-05-2025 22-51-04
pumpbtc,92276.0,453314551,-1.29346,93718.0,88530.0,107240.0,48890.0,05-05-2025 22-51-04
dydx-chain,0.583667,452192166,-2.54319,0.598899,0.57833,4.52,0.495631,05-05-2025 22-51-04
tbtc,94108.0,439326209,-1.19352,95690.0,93533.0,108501.0,10104.3,05-05-2025 22-51-04
binance-peg-dogecoin,0.170834,438326214,-1.96058,0.174317,0.169378,0.480585,0.04955727,05-05-2025 22-51-04
thorchain,1.25,438112021,-4.92221,1.31,1.23,20.87,0.00851264,05-05-2025 22-51-04
elrond-erd-2,15.46,436656143,-1.6573,16.02,15.49,545.64,6.51,05-05-2025 22-51-04
ecash,2.12e-05,421045446,-0.45847,2.167e-05,2.102e-05,0.00038001,1.604e-05,05-05-2025 22-51-04
movement,0.166404,416620736,-4.0741,0.17714,0.164638,1.45,0.164638,05-05-2025 22-51-04
apenft,4.1934e-07,414926745,0.34989,4.20642e-07,4.15506e-07,7.53e-06,2.98737e-07,05-05-2025 22-51-04
starknet,0.131075,407440870,-4.53994,0.137887,0.129609,4.41,0.11,05-05-2025 22-51-04
hashnote-usyc,1.085,407257710,0.00105,1.085,1.084,1.12,1.026,05-05-2025 22-51-04
l2-standard-bridged-weth-base,1803.59,407075477,-1.65107,1839.71,1786.82,4096.05,1394.17,05-05-2025 22-51-04
usdb,0.999149,405701087,-0.04736,1.003,0.990934,1.088,0.882623,05-05-2025 22-51-04
akash-network,1.62,401244030,12.80498,1.67,1.41,8.07,0.164994,05-05-2025 22-51-04
neo,5.64,397470934,-1.61187,5.77,5.57,198.38,0.078349,05-05-2025 22-51-04
apecoin,0.489236,391690920,-1.81125,0.501481,0.482786,26.7,0.354833,05-05-2025 22-51-04
beam-2,0.00746885,391633137,1.89462,0.00766006,0.00720919,0.04416304,0.0043383,05-05-2025 22-51-04
super-oeth,1802.95,390191682,-1.63842,1839.89,1785.43,4099.87,1312.97,05-05-2025 22-51-04
mantle-restaked-eth,1920.8,386543981,-1.45097,1960.35,1902.25,4298.87,1480.7,05-05-2025 22-51-04
grass,1.39,382498347,-6.22626,1.48,1.37,3.89,0.654959,05-05-2025 22-51-04
axie-infinity,2.32,373482798,-1.70566,2.36,2.31,164.9,0.123718,05-05-2025 22-51-04
chiliz,0.03900184,373416903,-1.16169,0.039736,0.03875402,0.878633,0.00410887,05-05-2025 22-51-04
matic-network,0.227629,372856295,-1.18319,0.234702,0.227166,2.92,0.00314376,05-05-2025 22-51-04
arbitrum-bridged-weth-arbitrum-one,1803.99,372239547,-1.62595,1840.1,1787.96,4097.16,1395.31,05-05-2025 22-51-04
mantra-dao,0.3872,372216210,-7.07593,0.417635,0.385618,8.99,0.01726188,05-05-2025 22-51-04
turbo,0.00535552,369523557,4.36074,0.00573565,0.00511808,0.01431669,6.518e-05,05-05-2025 22-51-04
conflux-token,0.071852,369136437,-1.5923,0.073342,0.071352,1.7,0.02199898,05-05-2025 22-51-04
popcat,0.365795,358769852,0.67377,0.38358,0.349766,2.05,0.00379728,05-05-2025 22-51-04
ether-fi-staked-eth,1807.66,356715213,-1.25907,1837.73,1787.73,5307.23,1394.71,05-05-2025 22-51-04
morpho,1.35,355235923,-0.24476,1.38,1.33,4.17,0.713151,05-05-2025 22-51-04
olympus,21.68,354753993,-1.36416,21.99,21.6,1415.26,7.54,05-05-2025 22-51-04
mimblewimblecoin,32.19,353517621,-0.62494,33.15,32.12,38.81,0.298733,05-05-2025 22-51-04
compound-governance-token,39.34,353171536,-1.56901,40.15,39.18,910.54,25.74,05-05-2025 22-51-04
mantle-bridged-usdt-mantle,1.0,352642712,-0.09735,1.005,0.996011,1.26,0.869914,05-05-2025 22-51-04
wormhole,0.077052,351826322,-3.3486,0.080393,0.076901,1.66,0.065244,05-05-2025 22-51-04
just,0.03528031,349483640,-1.65083,0.03593176,0.03519953,0.193254,0.00476275,05-05-2025 22-51-04
plume,0.174597,348821113,-1.77197,0.179932,0.171354,0.247537,0.084391,05-05-2025 22-51-04
sun-token,0.01803423,347060266,0.54952,0.01818815,0.01786973,66.45,0.00462303,05-05-2025 22-51-04
saros-finance,0.132127,346832821,-0.11702,0.132282,0.131361,0.167611,0.00101093,05-05-2025 22-51-04
berachain-bera,2.91,346730022,-0.35258,2.97,2.82,14.83,2.82,05-05-2025 22-51-04
amp-token,0.00404689,340706382,1.93814,0.00413771,0.0039463,0.120813,0.00140933,05-05-2025 22-51-04
axelar,0.358462,338500779,0.29777,0.361672,0.347638,2.64,0.274681,05-05-2025 22-51-04
cgeth-hashkey-cloud,1850.33,329782583,-1.56194,1879.69,1833.56,3129.19,1430.7,05-05-2025 22-51-04
usdd,1.0,329719980,0.03441,1.001,0.999717,1.052,0.928067,05-05-2025 22-51-04
ronin,0.51601,326433698,-4.34946,0.539839,0.515137,4.45,0.196601,05-05-2025 22-51-04
trust-wallet-token,0.779219,324879109,-0.70378,0.787003,0.768773,2.72,0.00277641,05-05-2025 22-51-04
binance-peg-busd,1.002,323353813,0.41683,1.004,0.994315,1.064,0.954278,05-05-2025 22-51-04
terra-luna,5.929e-05,322443978,0.33342,6e-05,5.815e-05,119.18,9.99967e-07,05-05-2025 22-51-04
frax,1.0,317375425,0.01163,1.001,0.997473,1.14,0.874536,05-05-2025 22-51-04
ripple-usd,0.999253,316927129,-0.11709,1.003,0.997953,1.073,0.962292,05-05-2025 22-51-04
cheems-token,1.52e-06,308850020,-0.1091,1.57e-06,1.51e-06,2.16e-06,5.725e-09,05-05-2025 22-51-04
creditcoin-2,0.676104,303738926,0.398,0.682666,0.660467,8.67,0.128298,05-05-2025 22-51-04
superfarm,0.671839,303450300,-2.55985,0.698646,0.665573,4.74,0.070397,05-05-2025 22-51-04
polygon-bridged-wbtc-polygon-pos,94137.0,301625529,-1.35968,96701.0,93914.0,108124.0,49937.0,05-05-2025 22-51-04
ket,0.294597,295021512,-1.34026,0.302945,0.282237,0.530549,0.0085598,05-05-2025 22-51-04
ai16z,0.266231,292958411,2.89183,0.281366,0.25081,2.47,0.010189,05-05-2025 22-51-04
wrapped-hype,20.08,291382988,-4.20953,20.97,19.77,25.53,9.43,05-05-2025 22-51-04
stakestone-berachain-vault-token,1797.03,290035209,-1.70857,1832.39,1783.07,3453.2,1373.59,05-05-2025 22-51-04
gnosis,109.21,282863606,-0.99986,110.81,109.06,644.2,6.88,05-05-2025 22-51-04
quorium,3316.6,278570672,2.32254,3343.56,3192.2,14721.58,1170.65,05-05-2025 22-51-04
layerzero,2.48,275652822,0.07646,2.55,2.43,7.47,1.51,05-05-2025 22-51-04
dog-go-to-the-moon-rune,0.00274841,274991199,-0.03135,0.00283249,0.00268611,0.0099237,0.00100496,05-05-2025 22-51-04
mina-protocol,0.223309,274864417,0.21984,0.228726,0.219474,9.09,0.18424,05-05-2025 22-51-04
wrapped-avax,19.57,273650917,-2.94087,20.22,19.44,2000.68,7.91,05-05-2025 22-51-04
ether-fi-staked-btc,94127.0,273604589,-1.64864,95732.0,93061.0,109069.0,58795.0,05-05-2025 22-51-04
venom,0.131534,272644689,-1.75347,0.135112,0.131365,0.782403,0.03459851,05-05-2025 22-51-04
resolv-usr,1.0,271650644,0.12593,1.0,0.998386,1.022,0.959194,05-05-2025 22-51-04
dash,21.74,266625309,-0.9738,22.12,21.73,1493.59,0.213899,05-05-2025 22-51-04
1inch,0.19103,264851645,-3.11292,0.197167,0.191016,8.65,0.149574,05-05-2025 22-51-04
mx-token,2.81,264639382,-0.36193,2.82,2.8,5.85,0.04218457,05-05-2025 22-51-04
stader-ethx,1908.04,262068402,-1.56816,1943.56,1893.6,4275.3,1474.49,05-05-2025 22-51-04
golem,0.2606,260599613,-1.25012,0.266619,0.25828,1.32,0.00913753,05-05-2025 22-51-04
safe,0.447048,259323883,0.13643,0.460468,0.438728,3.56,0.356678,05-05-2025 22-51-04
safepal,0.517477,258779927,-0.79552,0.529342,0.512673,4.19,0.269235,05-05-2025 22-51-04
syrupusdc,1.097,257396919,-0.07628,1.098,1.097,1.099,1.07,05-05-2025 22-51-04
aethir,0.02942275,249878779,-1.77205,0.03012308,0.02873417,0.118536,0.02439678,05-05-2025 22-51-04
honey-3,0.999462,249547209,-0.0033,1.0,0.996394,1.11,0.916153,05-05-2025 22-51-04
theta-fuel,0.03561797,246767976,-1.87165,0.03640767,0.03542275,0.68159,0.00090804,05-05-2025 22-51-04
coinbase-wrapped-staked-eth,1980.56,244652482,-1.48598,2018.98,1963.04,4434.57,1036.96,05-05-2025 22-51-04
compound-wrapped-btc,1894.26,244599425,-1.22093,1922.67,1882.68,2187.46,91.15,05-05-2025 22-51-04
btse-token,1.5,243231863,3.13235,1.51,1.45,9.21,0.369569,05-05-2025 22-51-04
gho,0.999661,243049331,-0.02027,0.999864,0.999087,1.03,0.917065,05-05-2025 22-51-04
global-dollar,0.999771,242640497,-0.13237,1.002,0.998044,1.65,0.907561,05-05-2025 22-51-04
convex-finance,2.93,240153110,-3.54864,3.04,2.89,60.09,1.44,05-05-2025 22-51-04
kusama,14.51,238684014,-0.84851,14.77,14.44,621.71,0.876572,05-05-2025 22-51-04
sweth,1966.46,238594039,-1.5469,2003.38,1947.87,4395.57,1516.13,05-05-2025 22-51-04
cat-in-a-dogs-world,0.00267274,238076558,-1.66293,0.00275796,0.00264889,0.01288153,0.00091206,05-05-2025 22-51-04
abtc,94049.0,236874471,-1.60977,95812.0,93446.0,108378.0,60786.0,05-05-2025 22-51-04
polygon-pos-bridged-weth-polygon-pos,1803.19,235015688,-1.60172,1838.64,1794.63,4090.99,1390.73,05-05-2025 22-51-04
euro-coin,1.13,234668279,0.5157,1.14,1.13,1.35,0.052848,05-05-2025 22-51-04
zilliqa,0.01182877,230197253,-2.19902,0.01214861,0.01179009,0.255376,0.00239616,05-05-2025 22-51-04
snek,0.00308945,230186860,-7.23962,0.00334508,0.00308135,0.00895508,0.00013847,05-05-2025 22-51-04
