id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
lombard-staked-btc,94104.0,1899445324,-1.38672,95654.0,92722.0,114576.0,52119.0,05-05-2025 22-57-14
fasttoken,4.28,1838599575,-0.10483,4.29,4.28,4.3,0.398142,05-05-2025 22-57-14
cosmos,4.07,1827180704,-1.88204,4.19,4.07,44.45,1.16,05-05-2025 22-57-14
filecoin,2.62,1740006551,-0.45086,2.68,2.61,236.84,2.14,05-05-2025 22-57-14
fetch-ai,0.655008,1709007692,-4.56058,0.686308,0.648844,3.45,0.00816959,05-05-2025 22-57-14
algorand,0.197829,1701470193,-2.55473,0.204357,0.198031,3.56,0.087513,05-05-2025 22-57-14
sonic-3,0.51861,1646575895,-1.43938,0.52771,0.510029,1.029,0.359647,05-05-2025 22-57-14
ethena,0.278296,1622609297,-4.09669,0.293033,0.278849,1.52,0.195078,05-05-2025 22-57-14
jupiter-perpetuals-liquidity-provider-token,4.07,1510506708,-0.62493,4.11,4.05,5.03,0.146839,05-05-2025 22-57-14
arbitrum,0.311921,1484133030,-1.77573,0.320504,0.310116,2.39,0.245747,05-05-2025 22-57-14
celestia,2.38,1481748234,-1.90508,2.45,2.36,20.85,2.08,05-05-2025 22-57-14
first-digital-usd,0.998306,1466736475,-0.07321,1.001,0.992594,1.15,0.940377,05-05-2025 22-57-14
solv-btc,94085.0,1386781543,-1.20961,95629.0,93619.0,108929.0,49058.0,05-05-2025 22-57-14
kucoin-shares,10.68,1334988841,-0.40965,10.81,10.64,28.83,0.342863,05-05-2025 22-57-14
bonk,1.673e-05,1298384866,4.14185,1.741e-05,1.58e-05,5.825e-05,8.6142e-08,05-05-2025 22-57-14
maker,1535.38,1281461965,0.93738,1557.28,1510.41,6292.31,168.36,05-05-2025 22-57-14
quant-network,85.66,1246163513,0.60359,90.57,84.6,427.42,0.215773,05-05-2025 22-57-14
jupiter-exchange-solana,0.429288,1245092028,0.0545,0.436493,0.422826,2.0,0.306358,05-05-2025 22-57-14
nexo,1.22,1225035350,-2.5638,1.28,1.21,4.07,0.04515276,05-05-2025 22-57-14
flare-networks,0.01934214,1224470175,-0.65089,0.02144095,0.01935938,0.150073,0.00827405,05-05-2025 22-57-14
worldcoin-wld,0.911474,1208168839,-3.24916,0.961993,0.909927,11.74,0.583741,05-05-2025 22-57-14
binance-staked-sol,151.52,1176986224,-0.9307,154.69,150.12,297.96,100.21,05-05-2025 22-57-14
blockstack,0.757577,1156646414,-2.59487,0.779349,0.745827,3.86,0.04559639,05-05-2025 22-57-14
xdce-crowd-sale,0.072319,1134835275,-1.63782,0.073572,0.069965,0.192754,0.00039532,05-05-2025 22-57-14
virtual-protocol,1.73,1130253725,4.86475,1.83,1.59,5.07,0.00748604,05-05-2025 22-57-14
fartcoin,1.1,1097687908,0.55444,1.14,1.056,2.48,0.02002855,05-05-2025 22-57-14
binance-peg-weth,1803.32,1091920338,-1.5343,1838.26,1786.11,4098.26,1394.32,05-05-2025 22-57-14
optimism,0.658511,1091636653,-3.62369,0.68503,0.657412,4.84,0.402159,05-05-2025 22-57-14
eos,0.705807,1070566833,-0.24737,0.71379,0.684438,22.71,0.402746,05-05-2025 22-57-14
usdt0,1.0,1057772461,-0.01145,1.002,0.998663,1.052,0.975737,05-05-2025 22-57-14
kelp-dao-restaked-eth,1880.16,1033899984,-1.42328,1913.83,1865.0,4216.2,1459.69,05-05-2025 22-57-14
sei-network,0.20148,1029736152,-2.07153,0.207237,0.201014,1.14,0.095364,05-05-2025 22-57-14
story-2,3.77,1017607068,2.76071,3.87,3.61,7.31,1.0,05-05-2025 22-57-14
immutable-x,0.553545,1006131144,-1.53268,0.569477,0.544345,9.52,0.353994,05-05-2025 22-57-14
curve-dao-token,0.692842,928309238,-0.5676,0.701164,0.670621,15.37,0.180354,05-05-2025 22-57-14
paypal-usd,0.999647,913570048,-0.0267,0.999997,0.999514,1.021,0.959426,05-05-2025 22-57-14
injective-protocol,9.32,911729263,-1.62077,9.71,9.25,52.62,0.657401,05-05-2025 22-57-14
binance-bridged-usdc-bnb-smart-chain,1.0,898748656,0.04077,1.004,0.994303,1.031,0.942892,05-05-2025 22-57-14
wbnb,594.96,869048859,0.29002,595.12,584.38,789.32,23.6,05-05-2025 22-57-14
the-graph,0.089684,856609431,-1.78492,0.091563,0.089354,2.84,0.052051,05-05-2025 22-57-14
rocket-pool-eth,2046.26,844691091,-1.4113,2083.39,2030.74,4814.31,887.26,05-05-2025 22-57-14
dexe,14.5,828213521,0.6386,14.61,14.18,32.38,0.671563,05-05-2025 22-57-14
tether-gold,3329.38,820727861,2.17692,3329.95,3250.7,3530.16,1447.84,05-05-2025 22-57-14
polygon-bridged-usdt-polygon,1.0,804618626,0.0031,1.0,0.999889,1.027,0.945933,05-05-2025 22-57-14
pax-gold,3333.9,793909615,2.20875,3334.02,3251.89,3518.57,1399.64,05-05-2025 22-57-14
iota,0.201621,777847402,-3.7678,0.213877,0.199988,5.25,0.081637,05-05-2025 22-57-14
raydium,2.65,771126545,-0.54079,2.74,2.58,16.83,0.134391,05-05-2025 22-57-14
walrus-2,0.613102,768724433,8.58867,0.617912,0.552188,0.68517,0.360808,05-05-2025 22-57-14
msol,186.22,756866746,-0.96549,190.49,184.47,363.77,8.93,05-05-2025 22-57-14
arbitrum-bridged-wbtc-arbitrum-one,94324.0,750892599,-1.36347,96156.0,93888.0,108397.0,49594.0,05-05-2025 22-57-14
jasmycoin,0.01541673,747687696,-3.84303,0.01615916,0.01539787,4.79,0.00275026,05-05-2025 22-57-14
coredaoorg,0.744632,742990606,9.99158,0.77412,0.657219,6.14,0.334237,05-05-2025 22-57-14
bitcoin-cash-sv,36.86,732157648,0.39653,38.02,36.28,489.75,21.43,05-05-2025 22-57-14
jupiter-staked-sol,159.78,731994973,-0.89978,163.1,157.85,309.67,105.7,05-05-2025 22-57-14
clbtc,93636.0,723418297,-1.76515,96090.0,93416.0,104078.0,51493.0,05-05-2025 22-57-14
solv-protocol-solvbtc-bbn,93572.0,723353121,-1.49652,95364.0,91212.0,117077.0,11402.13,05-05-2025 22-57-14
lido-dao,0.802449,721113841,-1.3492,0.824123,0.794055,7.3,0.40615,05-05-2025 22-57-14
floki,7.424e-05,717819300,-3.25118,7.729e-05,7.405e-05,0.00034495,8.428e-08,05-05-2025 22-57-14
bittorrent,7.08135e-07,698182960,-2.20678,7.46454e-07,7.03324e-07,3.43e-06,3.65368e-07,05-05-2025 22-57-14
theta-token,0.692468,693229263,-0.1057,0.705515,0.675886,15.72,0.04039979,05-05-2025 22-57-14
helium,3.79,690680124,-0.1261,3.87,3.75,54.88,0.113248,05-05-2025 22-57-14
pudgy-penguins,0.01088239,684637598,3.1597,0.01119196,0.01014997,0.068447,0.00371517,05-05-2025 22-57-14
mantle-staked-ether,1921.86,681990876,-1.35893,1959.61,1904.66,4729.53,1485.62,05-05-2025 22-57-14
gala,0.0151881,672885273,-1.32404,0.01568982,0.01506536,0.824837,0.00013475,05-05-2025 22-57-14
the-sandbox,0.272001,665500941,-2.44525,0.279826,0.272015,8.4,0.02897764,05-05-2025 22-57-14
