id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
kucoin-shares,10.78,1343432393,0.33323,28.83,0.342863,05-05-2025  18-31-50
bonk,1.728e-05,1338146825,5.91284,5.825e-05,8.6142e-08,05-05-2025  18-31-50
maker,1556.05,1298378315,2.48866,6292.31,168.36,05-05-2025  18-31-50
worldcoin-wld,0.959872,1270380165,0.93897,11.74,0.583741,05-05-2025  18-31-50
jupiter-exchange-solana,0.435192,1261181162,2.41516,2.0,0.306358,05-05-2025  18-31-50
flare-networks,0.0198489,1256863588,5.2513,0.150073,0.00827405,05-05-2025  18-31-50
quant-network,85.98,1250452233,0.59728,427.42,0.215773,05-05-2025  18-31-50
nexo,1.23,1233373329,-3.39767,4.07,0.04515276,05-05-2025  18-31-50
binance-staked-sol,153.92,1195642529,0.75868,297.96,100.21,05-05-2025  18-31-50
virtual-protocol,1.83,1192431265,10.70285,5.07,0.00748604,05-05-2025  18-31-50
blockstack,0.776262,1183569166,-1.44388,3.86,0.04559639,05-05-2025  18-31-50
optimism,0.678278,1124062034,-0.46125,4.84,0.402159,05-05-2025  18-31-50
fartcoin,1.12,1118502980,2.39422,2.48,0.02002855,05-05-2025  18-31-50
binance-peg-weth,1826.74,1105023674,-0.45353,4098.26,1394.32,05-05-2025  18-31-50
xdce-crowd-sale,0.070019,1099576565,-4.85114,0.192754,0.00039532,05-05-2025  18-31-50
eos,0.710655,1078110812,-0.66849,22.71,0.402746,05-05-2025  18-31-50
usdt0,1.0,1052907201,0.02777,1.052,0.975737,05-05-2025  18-31-50
sei-network,0.205686,1050660780,-0.56337,1.14,0.095364,05-05-2025  18-31-50
kelp-dao-restaked-eth,1899.94,1044760981,-0.73218,4216.2,1459.69,05-05-2025  18-31-50
immutable-x,0.568934,1034032321,1.81579,9.52,0.353994,05-05-2025  18-31-50
story-2,3.76,1017165584,2.97146,7.31,1.0,05-05-2025  18-31-50
injective-protocol,9.59,937915566,0.30119,52.62,0.657401,05-05-2025  18-31-50
curve-dao-token,0.693995,929478655,-0.54653,15.37,0.180354,05-05-2025  18-31-50
paypal-usd,0.999666,913569773,0.0246,1.021,0.959426,05-05-2025  18-31-50
binance-bridged-usdc-bnb-smart-chain,0.999905,898913735,0.00946,1.031,0.942892,05-05-2025  18-31-50
the-graph,0.09109,870119409,-0.33336,2.84,0.052051,05-05-2025  18-31-50
wbnb,592.01,865329127,-0.73177,789.32,23.6,05-05-2025  18-31-50
rocket-pool-eth,2064.9,851105537,-0.81999,4814.31,887.26,05-05-2025  18-31-50
dexe,14.37,822860169,-0.87643,32.38,0.671563,05-05-2025  18-31-50
tether-gold,3276.71,807629461,0.74404,3530.16,1447.84,05-05-2025  18-31-50
polygon-bridged-usdt-polygon,1.0,804512330,-0.00741,1.027,0.945933,05-05-2025  18-31-50
raydium,2.73,792280714,2.07702,16.83,0.134391,05-05-2025  18-31-50
pax-gold,3281.51,781368615,0.89064,3518.57,1399.64,05-05-2025  18-31-50
iota,0.206882,777847402,1.69932,5.25,0.081637,05-05-2025  18-31-50
jasmycoin,0.01589036,769439051,-0.7894,4.79,0.00275026,05-05-2025  18-31-50
coredaoorg,0.767396,767709914,12.47483,6.14,0.334237,05-05-2025  18-31-50
msol,188.97,767246305,0.65166,363.77,8.93,05-05-2025  18-31-50
walrus-2,0.605975,757471572,9.82723,0.68517,0.360808,05-05-2025  18-31-50
arbitrum-bridged-wbtc-arbitrum-one,94690.0,753479626,-1.09672,108397.0,49594.0,05-05-2025  18-31-50
bitcoin-cash-sv,37.72,749906471,1.88329,489.75,21.43,05-05-2025  18-31-50
floki,7.703e-05,744402638,0.25403,0.00034495,8.428e-08,05-05-2025  18-31-50
jupiter-staked-sol,161.99,742072354,0.65665,309.67,105.7,05-05-2025  18-31-50
clbtc,95002.0,733722172,-1.03738,104078.0,51493.0,05-05-2025  18-31-50
lido-dao,0.816041,732403273,-0.48858,7.3,0.40615,05-05-2025  18-31-50
solv-protocol-solvbtc-bbn,93614.0,723681293,-1.57332,117077.0,11402.13,05-05-2025  18-31-50
theta-token,0.703042,703217398,0.14658,15.72,0.04039979,05-05-2025  18-31-50
helium,3.85,700841518,1.79552,54.88,0.113248,05-05-2025  18-31-50
bittorrent,7.09883e-07,699985211,-3.33667,3.43e-06,3.65368e-07,05-05-2025  18-31-50
gala,0.01566746,693934156,1.72986,0.824837,0.00013475,05-05-2025  18-31-50
pudgy-penguins,0.0109906,691481750,9.51871,0.068447,0.00371517,05-05-2025  18-31-50
mantle-staked-ether,1944.1,689849849,-0.49672,4729.53,1485.62,05-05-2025  18-31-50
solayer,3.26,683499822,0.07477,3.39,0.599884,05-05-2025  18-31-50
the-sandbox,0.278571,681313822,-0.42026,8.4,0.02897764,05-05-2025  18-31-50
kaia,0.112674,659611902,-2.56425,0.406698,0.090737,05-05-2025  18-31-50
usual-usd,0.998229,647933776,0.02474,1.33,0.962885,05-05-2025  18-31-50
usdx-money-usdx,0.998983,627495582,0.08559,1.057,0.944423,05-05-2025  18-31-50
pancakeswap-token,1.95,621456021,-0.9293,43.96,0.194441,05-05-2025  18-31-50
ethereum-name-service,18.02,597570739,-5.37665,83.4,6.69,05-05-2025  18-31-50
ondo-us-dollar-yield,1.11,597371546,0.22042,1.26,0.934184,05-05-2025  18-31-50
flow,0.374555,591764756,-0.01575,42.4,0.303987,05-05-2025  18-31-50
renzo-restaked-eth,1910.69,583325237,-0.48571,4207.05,1454.43,05-05-2025  18-31-50
zcash,36.34,582694618,4.7717,3191.93,16.08,05-05-2025  18-31-50
tezos,0.54033,563103748,-2.21261,9.12,0.350476,05-05-2025  18-31-50
chain-2,0.01670929,560157503,-3.97632,0.184139,0.0007055,05-05-2025  18-31-50
dogwifcoin,0.560166,559611559,-0.51641,4.83,0.00155464,05-05-2025  18-31-50
based-brett,0.056433,559240934,-0.52887,0.234204,0.00084753,05-05-2025  18-31-50
decentraland,0.297059,554845038,0.17471,5.85,0.00923681,05-05-2025  18-31-50
sonic-bridged-usdc-e-sonic,1.0,553336965,0.00999,1.046,0.949963,05-05-2025  18-31-50
pendle,3.26,529614285,-0.04265,7.5,0.03377729,05-05-2025  18-31-50
jito-governance-token,1.62,525149716,0.56133,6.01,1.43,05-05-2025  18-31-50
aerodrome-finance,0.632651,512210289,-0.81315,2.32,1.861e-05,05-05-2025  18-31-50
telcoin,0.00554291,509190236,-3.12669,0.064483,6.474e-05,05-05-2025  18-31-50
pyth-network,0.138608,502448638,-3.33265,1.2,0.10565,05-05-2025  18-31-50
reserve-rights-token,0.00881554,501650204,0.80759,0.117424,0.00121354,05-05-2025  18-31-50
ubtc,97233.0,495793215,-0.04664,192764.0,74362.0,05-05-2025  18-31-50
spx6900,0.531585,495306098,2.34289,1.72,0.00131808,05-05-2025  18-31-50
true-usd,0.999373,495147687,0.11899,1.62,0.88355,05-05-2025  18-31-50
stakewise-v3-oseth,1910.17,485104292,-0.56847,4228.59,1459.73,05-05-2025  18-31-50
deep,0.193114,483781706,3.33942,0.341085,0.01073218,05-05-2025  18-31-50
bitcoin-avalanche-bridged-btc-b,94333.0,476170269,-1.21324,108820.0,7806.11,05-05-2025  18-31-50
arweave,7.26,474927654,-0.62801,89.24,0.298788,05-05-2025  18-31-50
kava,0.433841,471031020,3.9165,9.12,0.247359,05-05-2025  18-31-50
beldex,0.065372,467174742,-2.1412,0.450785,0.00027519,05-05-2025  18-31-50
bridged-usdc-polygon-pos-bridge,1.0,465784890,0.0001,1.028,0.975633,05-05-2025  18-31-50
ousg,110.92,461471170,0.0,110.92,95.09,05-05-2025  18-31-50
dydx-chain,0.594566,460384711,-1.11114,4.52,0.495631,05-05-2025  18-31-50
aioz-network,0.392526,460002412,-3.45264,2.65,0.01099588,05-05-2025  18-31-50
pumpbtc,92681.0,455304468,-1.09631,107240.0,48890.0,05-05-2025  18-31-50
elrond-erd-2,15.96,451045916,1.72089,545.64,6.51,05-05-2025  18-31-50
binance-peg-dogecoin,0.173453,444713050,-0.66162,0.480585,0.04955727,05-05-2025  18-31-50
thorchain,1.26,443177822,-4.11969,20.87,0.00851264,05-05-2025  18-31-50
tbtc,94401.0,440172581,-0.81621,108501.0,10104.3,05-05-2025  18-31-50
ecash,2.165e-05,430024605,1.66377,0.00038001,1.604e-05,05-05-2025  18-31-50
movement,0.168825,422069838,0.2689,1.45,0.166906,05-05-2025  18-31-50
starknet,0.135311,421217838,2.44308,4.41,0.11,05-05-2025  18-31-50
l2-standard-bridged-weth-base,1826.94,414592727,-0.43409,4096.05,1394.17,05-05-2025  18-31-50
